side,trade_sign,expectedness_bin,observations,mean_expectedness,penetration_probability,midpoint_moves,midpoint_move_probability,mean_signed_midpoint_response_bp,conditional_signed_midpoint_response_bp,mean_log_order_size,mean_log_opposite_depth,mean_log_size_to_depth,mean_log_same_side_depth,mean_log_opposite_to_same_depth,mean_spread,mean_log_spread
sell,-1,0,46888,-0.6549667590291651,0.6381376898140249,29922,0.6381590172325542,0.5163368230029931,0.8091037015227706,3.3548590163472047,3.716369300242411,-0.36151028389520623,4.177923539550964,-0.46155423930855277,0.08025272990957201,-2.7963821172665995
sell,-1,1,43446,-0.44693554445618555,0.6246144639322377,27139,0.6246604980895825,0.48840462674430773,0.7818721181153762,3.415986244537172,3.8088223460462154,-0.3928361015090439,4.095984551642942,-0.28716220559672617,0.08942457303319094,-2.7187456235917575
sell,-1,2,48178,0.21644917966588406,0.6209265639918635,29916,0.6209473203536884,0.48620423433239834,0.7830039979163754,3.445159225134535,3.8708669638273556,-0.4257077386928203,4.098284048679995,-0.22741708485263912,0.08421540952301912,-2.7431881405074168
sell,-1,3,48271,0.45338789177116023,0.6102836071347185,29460,0.6103043235068675,0.4562381040811341,0.7475583680278488,3.460371883575686,3.921806762308393,-0.46143487873270694,4.039485220327818,-0.11767845801942517,0.08541961011787648,-2.731258742791505
sell,-1,4,49624,0.561782500889902,0.5944905690794777,29502,0.5945107206190553,0.44424259006610217,0.7472406714609265,3.467806801367377,3.9700460425632573,-0.5022392411958805,4.0403036165771065,-0.07025757401384941,0.08174532484281805,-2.7475858604722174
sell,-1,5,51989,0.6092885863121609,0.5791032718459674,30109,0.5791417415222451,0.4086277765600004,0.7055747276753748,3.4532793782925646,3.9962279578077218,-0.5429485795151574,4.0031861935110795,-0.006958235703357643,0.08373694435361344,-2.716779547138768
sell,-1,6,52959,0.6377663638308916,0.5629260371230574,29813,0.5629449196548273,0.379410402200203,0.6739742894079949,3.4279225399694124,4.022730084026737,-0.5948075440573244,3.9622982086352634,0.060431875391473586,0.08619630280027925,-2.6819903533725578
sell,-1,7,54396,0.6604722111580377,0.5508125597470402,29962,0.5508125597470402,0.3590056921118082,0.6517747022266177,3.422565897527469,4.059367244787591,-0.6368013472601227,3.923741932131055,0.13562531265653643,0.08930766968159433,-2.6492169795864102
sell,-1,8,56783,0.6822543423849153,0.5452688304598208,30967,0.5453568849831816,0.3351210115461625,0.6144985435665625,3.4082478301246533,4.076329512238622,-0.6680816821139686,3.9052861004472303,0.17104341179139107,0.09314882975538448,-2.606753312705595
sell,-1,9,66545,0.7133071654586188,0.5375159666391164,35772,0.5375610489142686,0.30878028321153334,0.574409704414388,3.3811543685083256,4.11779439333886,-0.7366400248305347,3.873905069781327,0.24388932355753298,0.10594935757757894,-2.4879847618224638
buy,1,0,48742,-0.658124465035113,0.6226867998851093,30351,0.6226867998851093,0.5330833637259956,0.8561019180498989,3.3392032447779516,3.7484668828348995,-0.4092636380569476,4.063185268470099,-0.31471838563520044,0.0811993763079071,-2.7682206958903985
buy,1,1,42062,-0.4511761205985815,0.6014454852360801,25298,0.6014454852360801,0.48147915121376267,0.8005366455195385,3.4409895631115006,3.8930848767717507,-0.4520953136602497,4.03885391380684,-0.145769037035089,0.08751747420474573,-2.7277027565060576
buy,1,2,47954,0.21773857485605755,0.5892313467072611,28256,0.5892313467072611,0.47972640452257154,0.8141562854783195,3.43931294015754,3.9370441257673074,-0.49773118560976737,4.016592171376071,-0.0795480456087637,0.0837934270342414,-2.736035528342848
buy,1,3,46798,0.45002354435204495,0.574682678746955,26894,0.574682678746955,0.4555282192588255,0.7926604300169002,3.4857285847478026,4.040756470291166,-0.5550278855433637,3.9892213270231824,0.051535143267983835,0.08495042523184769,-2.7265702597441486
buy,1,4,49263,0.5585379907878335,0.5513468526074335,27162,0.5513671518177943,0.43913267471373413,0.7964433014661175,3.4838833028337324,4.094327799456577,-0.610444496622845,3.977172986725108,0.11715481273146917,0.08283782960842818,-2.7293088741190386
buy,1,5,51235,0.6068458625596431,0.537698838684493,27550,0.5377183565921734,0.40178197934467547,0.7471978116778384,3.4981816874827647,4.154044140790588,-0.6558624533078226,3.940435853892524,0.21360828689806324,0.08395667024494963,-2.71197434555606
buy,1,6,52105,0.6356938728135125,0.5178389789847423,26982,0.5178389789847423,0.36215587702896473,0.6993600167739311,3.472055067253187,4.1875882189994,-0.715533151746213,3.9102134310313654,0.27737478796803444,0.08410248536608765,-2.7060419784606524
buy,1,7,52407,0.658475073550424,0.5054668269505982,26491,0.5054859083710191,0.3271764179207991,0.6472513130487833,3.471608076410169,4.236606533730457,-0.7649984573202873,3.89444568014607,0.34216085358438697,0.08492586868166438,-2.7041822280063914
buy,1,8,52661,0.6803418307909154,0.499041036060842,26281,0.4990600254457758,0.30102423408833034,0.6031824204301801,3.47741685519412,4.325136571953204,-0.8477197167590842,3.898134291474868,0.42700228047833594,0.08646569567611684,-2.6931455085150504
buy,1,9,60068,0.7113222494255749,0.49612106279549845,29803,0.4961543583938203,0.27152996418833325,0.547269130250807,3.5117613902766887,4.443817156916116,-0.9320557666394275,3.91214880877938,0.5316683481367359,0.09386794965705485,-2.6313286629672756
