sample,spread_bucket,model,calibration_bin,observations,up_moves,down_moves,predicted_up_probability,empirical_up_probability
best_quote_updates,all_spreads,intercept,0,5489604,2759015,2730589,0.4972002337025842,0.502589075641886
best_quote_updates,all_spreads,queue,0,408905,190158,218747,0.4066001878384299,0.4650420024211003
best_quote_updates,all_spreads,queue,1,783734,364743,418991,0.4202664562062884,0.465391318993434
best_quote_updates,all_spreads,queue,2,587231,278476,308755,0.44524460093855134,0.4742188338149723
best_quote_updates,all_spreads,queue,3,473132,218746,254386,0.4673982364648966,0.46233609225332467
best_quote_updates,all_spreads,queue,4,297797,142722,155075,0.48542276027169756,0.4792593612427257
best_quote_updates,all_spreads,queue,5,712987,363903,349084,0.500477481104001,0.510392195089111
best_quote_updates,all_spreads,queue,6,208258,106948,101310,0.5194393118412246,0.5135360946518261
best_quote_updates,all_spreads,queue,7,664155,357124,307031,0.5363245482792787,0.5377118293169516
best_quote_updates,all_spreads,queue,8,604453,321952,282501,0.562203849100783,0.5326336373547654
best_quote_updates,all_spreads,queue,9,748952,414243,334709,0.584477576514972,0.5530968606799902
best_quote_updates,all_spreads,ofi,0,459661,118810,340851,0.2624200237532525,0.2584730921265889
best_quote_updates,all_spreads,ofi,1,374771,123991,250780,0.42197247726507325,0.33084470249832565
best_quote_updates,all_spreads,ofi,2,4032407,2057145,1975262,0.5023257381210111,0.5101531169844711
best_quote_updates,all_spreads,ofi,3,622765,459069,163696,0.7111112027800791,0.7371464356538984
best_quote_updates,all_spreads,queue_and_ofi,0,483199,127144,356055,0.2636724256783643,0.26312968362931216
best_quote_updates,all_spreads,queue_and_ofi,1,470804,181832,288972,0.41750091440566944,0.38621592000067967
best_quote_updates,all_spreads,queue_and_ofi,2,700331,317410,382921,0.4439921713850406,0.4532285447881073
best_quote_updates,all_spreads,queue_and_ofi,3,402559,193958,208601,0.46431906614364876,0.4818126038667624
best_quote_updates,all_spreads,queue_and_ofi,4,498696,232917,265779,0.48301486238391134,0.4670520718032629
best_quote_updates,all_spreads,queue_and_ofi,5,652446,334068,318378,0.5022018228154835,0.5120239835940446
best_quote_updates,all_spreads,queue_and_ofi,6,575406,305479,269927,0.5260741860601708,0.5308929694858935
best_quote_updates,all_spreads,queue_and_ofi,7,610444,331960,278484,0.5490855716187083,0.5438009055703718
best_quote_updates,all_spreads,queue_and_ofi,8,558943,335277,223666,0.5744451394074093,0.5998411287018534
best_quote_updates,all_spreads,queue_and_ofi,9,536776,398970,137806,0.7303322384328723,0.7432709361074266
best_quote_updates,one_tick,intercept,0,61829,30451,31378,0.48896641662687595,0.4925035177667438
best_quote_updates,one_tick,queue,0,10548,3903,6645,0.3088904002600025,0.3700227531285552
best_quote_updates,one_tick,queue,1,6238,2335,3903,0.3375565365278243,0.37431869188842576
best_quote_updates,one_tick,queue,2,7961,3144,4817,0.3832237929766434,0.39492526064564754
best_quote_updates,one_tick,queue,3,4597,2086,2511,0.4334223364969704,0.45377420056558626
best_quote_updates,one_tick,queue,4,2490,1188,1302,0.46761241255307995,0.4771084337349398
best_quote_updates,one_tick,queue,5,7480,3800,3680,0.49305810636958153,0.5080213903743316
best_quote_updates,one_tick,queue,6,4451,2449,2002,0.5404742920269445,0.550213435183105
best_quote_updates,one_tick,queue,7,5243,3115,2128,0.5836523184695142,0.5941255006675568
best_quote_updates,one_tick,queue,8,4765,2888,1877,0.6244870258974783,0.6060860440713536
best_quote_updates,one_tick,queue,9,8056,5543,2513,0.6622238493354398,0.6880585898709036
best_quote_updates,one_tick,ofi,0,3403,448,2955,0.15664716812780785,0.13164854540111667
best_quote_updates,one_tick,ofi,1,3367,872,2495,0.3001446525819311,0.258984258984259
best_quote_updates,one_tick,ofi,2,3863,1077,2786,0.3991234401246268,0.27879886098886875
best_quote_updates,one_tick,ofi,3,2739,915,1824,0.46110273808522434,0.33406352683461116
best_quote_updates,one_tick,ofi,4,30894,14362,16532,0.5056182560663519,0.4648799119570143
best_quote_updates,one_tick,ofi,5,7914,4972,2942,0.5854107704671585,0.6282537275713924
best_quote_updates,one_tick,ofi,6,9649,7805,1844,0.7901307786253772,0.8088921131723494
best_quote_updates,one_tick,queue_and_ofi,0,4164,650,3514,0.1561404181394909,0.15609990393852066
best_quote_updates,one_tick,queue_and_ofi,1,6693,1323,5370,0.3046829957062023,0.1976692066337965
best_quote_updates,one_tick,queue_and_ofi,2,7178,2179,4999,0.3530001298959668,0.3035664530509891
