sample,spread_bucket,challenger,reference,clusters,replicates,relative_brier_reduction,relative_brier_reduction_lower_95,relative_brier_reduction_median,relative_brier_reduction_upper_95,probability_nonpositive
best_quote_updates,all_spreads,ofi,intercept,51,10000,0.05607473663248186,0.05329600676231632,0.05606887809121597,0.058627266346391614,0.0
best_quote_updates,all_spreads,queue,intercept,51,10000,0.0012220490305006049,-0.0003359258508619511,0.0012394855180119513,0.0028698414945463593,0.0655
best_quote_updates,all_spreads,queue_and_ofi,intercept,51,10000,0.0561140870233664,0.05357349661357923,0.05613224227823205,0.05844256239303404,0.0
best_quote_updates,all_spreads,queue_and_ofi,ofi,51,10000,4.168803655502096e-05,-0.0009204000281810343,5.6159133592303956e-05,0.0010000730538985,0.4574
best_quote_updates,all_spreads,queue_and_ofi,queue,51,10000,0.0549592008309584,0.051703427417802025,0.05495665250224263,0.05790838180014443,0.0
best_quote_updates,one_tick,ofi,intercept,51,10000,0.12061128763493378,0.09901482864006154,0.1202966603776035,0.1419160481814542,0.0
best_quote_updates,one_tick,queue,intercept,51,10000,0.04704635754399178,0.023763596706710934,0.04754799735407739,0.0698144418977077,0.0001
best_quote_updates,one_tick,queue_and_ofi,intercept,51,10000,0.18236860230219254,0.16330535427680448,0.18210874083743772,0.19974334132031363,0.0
best_quote_updates,one_tick,queue_and_ofi,ofi,51,10000,0.07022754988651825,0.05215399508279147,0.07028856272204059,0.08787493811779762,0.0
best_quote_updates,one_tick,queue_and_ofi,queue,51,10000,0.14200296712171667,0.11264650643097389,0.1408327127109058,0.1719588432480806,0.0
best_quote_updates,over_ten_ticks,ofi,intercept,51,10000,0.031561131837697376,0.02940883199791404,0.03155311470543415,0.033541747647833485,0.0
best_quote_updates,over_ten_ticks,queue,intercept,51,10000,0.004986376665593095,0.00364528828586351,0.005004361954281555,0.0064286875226582775,0.0
best_quote_updates,over_ten_ticks,queue_and_ofi,intercept,51,10000,0.03321657159967384,0.030876672385110934,0.03322478456935485,0.03534882840021379,0.0
best_quote_updates,over_ten_ticks,queue_and_ofi,ofi,51,10000,0.0017093900465992018,0.000813541420498945,0.0017253603409606022,0.0026283458998553333,0.0
best_quote_updates,over_ten_ticks,queue_and_ofi,queue,51,10000,0.028371666751132563,0.026097129610469054,0.02834420525690795,0.030504803579999098,0.0
best_quote_updates,six_to_ten_ticks,ofi,intercept,51,10000,0.06958977417054557,0.06427984696944336,0.06959226148655673,0.07507332069537591,0.0
best_quote_updates,six_to_ten_ticks,queue,intercept,51,10000,-0.0019282492658330153,-0.00413987786628337,-0.0019154431231294122,0.000477893983628763,0.9437
best_quote_updates,six_to_ten_ticks,queue_and_ofi,intercept,51,10000,0.06736147305156759,0.06248119799712055,0.06735265524793682,0.07254902967044959,0.0
best_quote_updates,six_to_ten_ticks,queue_and_ofi,ofi,51,10000,-0.002394966281665134,-0.0035718608950302488,-0.0023867262746180007,-0.001140149302678628,0.9999
best_quote_updates,six_to_ten_ticks,queue_and_ofi,queue,51,10000,0.0691563715946456,0.0630200491049615,0.06916018956061709,0.07546926715778153,0.0
best_quote_updates,two_to_five_ticks,ofi,intercept,51,10000,0.10164065062899941,0.09557829412276897,0.10167706507154167,0.10774288972963986,0.0
best_quote_updates,two_to_five_ticks,queue,intercept,51,10000,-0.003719071514881822,-0.007238850319787144,-0.003663441336101636,-4.7129301322546276e-05,0.9764
best_quote_updates,two_to_five_ticks,queue_and_ofi,intercept,51,10000,0.10168717275653039,0.09647800614361922,0.10172785195559064,0.10693003393561189,0.0
best_quote_updates,two_to_five_ticks,queue_and_ofi,ofi,51,10000,5.178565522090395e-05,-0.002431205977644768,6.746412949493186e-05,0.0026542592862922086,0.4781
best_quote_updates,two_to_five_ticks,queue_and_ofi,queue,51,10000,0.10501568343453505,0.09780898292733124,0.10504759365150329,0.11218328706207371,0.0
