grid_bins_per_axis,sample,spread_bucket,model,test_observations,roc_auc,brier_score,relative_brier_reduction,relative_brier_reduction_lower_95,relative_brier_reduction_upper_95,probability_nonpositive
21,best_quote_updates,all_spreads,ofi,5489604,0.6130284775554075,0.23609167943618348,0.0557176493687469,0.052957539708202696,0.058268835534720315,0.0
31,best_quote_updates,all_spreads,ofi,5489604,0.6161326269477502,0.23600239964423972,0.05607473663248186,0.05329600676231632,0.058627266346391614,0.0
41,best_quote_updates,all_spreads,ofi,5489604,0.6180911815609909,0.23595320478592277,0.05627149848601898,0.05349494883526013,0.058821509393888714,0.0
21,best_quote_updates,all_spreads,queue,5489604,0.5375340708545338,0.24972777716788835,0.0011781312871183003,-0.0003853170853262255,0.0028296108681747935,0.0728
31,best_quote_updates,all_spreads,queue,5489604,0.537686899035067,0.2497167967510826,0.0012220490305006049,-0.0003359258508619511,0.0028698414945463593,0.0655
41,best_quote_updates,all_spreads,queue,5489604,0.5377367756498049,0.24971755665817955,0.0012190096736649503,-0.0003488773867965865,0.002878289240470649,0.0666
21,best_quote_updates,all_spreads,queue_and_ofi,5489604,0.6259867090100344,0.23609190819605344,0.05571673441101388,0.05319632649786279,0.05803369621395763,0.0
31,best_quote_updates,all_spreads,queue_and_ofi,5489604,0.626762264854621,0.23599256116757628,0.0561140870233664,0.05357349661357923,0.05844256239303404,0.0
41,best_quote_updates,all_spreads,queue_and_ofi,5489604,0.6270746835382499,0.2359457821914853,0.056301186211312415,0.05376771431022708,0.05862371959962559,0.0
21,best_quote_updates,one_tick,ofi,61829,0.6907091975131148,0.22008426989020025,0.11950905936182388,0.09828726867290019,0.14044019615503886,0.0
31,best_quote_updates,one_tick,ofi,61829,0.6937932857209639,0.21980876097404495,0.12061128763493378,0.09901482864006154,0.1419160481814542,0.0
41,best_quote_updates,one_tick,ofi,61829,0.6952001815760831,0.21986808797561427,0.1203739381531056,0.09896835315692365,0.1414659227086055,0.0
21,best_quote_updates,one_tick,queue,61829,0.6266880613664668,0.23822859773089977,0.04691906328588713,0.02362895945935274,0.06967783430681491,0.0001
31,best_quote_updates,one_tick,queue,61829,0.626752539178586,0.23819677972737116,0.04704635754399178,0.023763596706710934,0.0698144418977077,0.0001
41,best_quote_updates,one_tick,queue,61829,0.6266731271673363,0.23822110955706166,0.04694902121622757,0.0235065901885237,0.0698860210661053,0.0001
21,best_quote_updates,one_tick,queue_and_ofi,61829,0.7507871906943372,0.20470404198092584,0.18104072332773424,0.1623372652470362,0.197877300094325,0.0
31,best_quote_updates,one_tick,queue_and_ofi,61829,0.7522882632135836,0.2043721302472465,0.18236860230219254,0.16330535427680448,0.19974334132031363,0.0
41,best_quote_updates,one_tick,queue_and_ofi,61829,0.7523027175549544,0.20436520513275092,0.18239630760152736,0.16354909949317037,0.19945865422081857,0.0
21,best_quote_updates,over_ten_ticks,ofi,2720784,0.5823184896619839,0.24217219130750708,0.03142492763007765,0.029289207228555887,0.033381384105907276,0.0
31,best_quote_updates,over_ten_ticks,ofi,2720784,0.5847438803846737,0.24213813625863628,0.031561131837697376,0.02940883199791404,0.033541747647833485,0.0
41,best_quote_updates,over_ten_ticks,ofi,2720784,0.5862881076475164,0.24209707354477394,0.03172536341538712,0.029564439806567873,0.03371019817336815,0.0
21,best_quote_updates,over_ten_ticks,queue,2720784,0.5471037811947583,0.24877702763807139,0.005008683088008947,0.0036661874761954568,0.006454749645370103,0.0
31,best_quote_updates,over_ten_ticks,queue,2720784,0.5471351146897728,0.24878260489826604,0.004986376665593095,0.00364528828586351,0.0064286875226582775,0.0
41,best_quote_updates,over_ten_ticks,queue,2720784,0.5473112460818533,0.24877240959478378,0.005027153093121073,0.0036845721392146534,0.006469213834845552,0.0
21,best_quote_updates,over_ten_ticks,queue_and_ofi,2720784,0.5982224594481576,0.24175211474292688,0.03310503667456566,0.030780014000494033,0.035227596590320466,0.0
31,best_quote_updates,over_ten_ticks,queue_and_ofi,2720784,0.5984245576216106,0.24172422773861374,0.03321657159967384,0.030876672385110934,0.03534882840021379,0.0
41,best_quote_updates,over_ten_ticks,queue_and_ofi,2720784,0.5988409300877959,0.24168138800849154,0.033387910408144705,0.031048338463851237,0.035524511966380234,0.0
21,best_quote_updates,six_to_ten_ticks,ofi,1794330,0.6289281078071913,0.23276610426825523,0.06903202587673452,0.06374507745281478,0.07449444236813134,0.0
31,best_quote_updates,six_to_ten_ticks,ofi,1794330,0.6325077204197468,0.23262665274992034,0.06958977417054557,0.06427984696944336,0.07507332069537591,0.0
41,best_quote_updates,six_to_ten_ticks,ofi,1794330,0.6347103111860141,0.2325709463067111,0.0698125768622998,0.06447114157102489,0.0753128998468203,0.0
21,best_quote_updates,six_to_ten_ticks,queue,1794330,0.5295070902228178,0.2505269879011413,-0.002004149713896952,-0.004218986179710637,0.0003941103628508385,0.9491
