sample,spread_bucket,model,target_train_signal_fraction,entry_latency_us,shares,filled_round_trips,filled_test_dates,quoted_round_trip_mean_bps,cluster_standard_error_bps,pointwise_lower_95_bps,pointwise_upper_95_bps,simultaneous_lower_95_bps,simultaneous_upper_95_bps,familywise_adjusted_p_value,inference_status
price_spell_round_trips,all_spreads,ofi,0.05,0,1,99215,51,-3.4522184268871623,0.1471730659473044,-3.746346439082652,-3.1737282933861093,-3.8975184177509967,-3.006918436023328,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,ofi,0.05,0,100,52050,51,-4.500555725586864,0.1900461027366112,-4.871248926584885,-4.13172672539105,-5.075576210942665,-3.9255352402310626,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,ofi,0.05,0,500,628,51,-4.442193013333773,0.1822048547257627,-4.794235941504548,-4.084162882296076,-4.993488317420047,-3.890897709247499,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,ofi,0.05,10,1,96261,51,-3.486573402905303,0.14870048190481686,-3.7840598153113514,-3.20533347166626,-3.9364948800957804,-3.0366519257148252,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,ofi,0.05,10,100,50796,51,-4.5267484457851985,0.19044137735679378,-4.898413290176903,-4.157107348932715,-5.102964909383507,-3.9505319821868903,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,ofi,0.05,10,500,616,51,-4.464275483987839,0.18286247510453096,-4.8212523840872334,-4.101754768543388,-5.017560543106887,-3.9109904248687912,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,ofi,0.05,100,1,84071,51,-3.611686572982244,0.15311843031659989,-3.9192687536034256,-3.322402756583384,-4.074975390009946,-3.148397755954542,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,ofi,0.05,100,100,45869,51,-4.597742954704415,0.18769268721788682,-4.962345594882612,-4.231722728954207,-5.16564273558728,-4.0298431738215506,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,ofi,0.05,100,500,556,51,-4.396658543632213,0.17636658198764885,-4.733350058605664,-4.037417427973232,-4.930289047571744,-3.8630280396926833,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,ofi,0.05,1000,1,57990,51,-3.8098175342282032,0.162157800951252,-4.133485551159028,-3.503461396137114,-4.30045667949101,-3.319178388965397,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,ofi,0.05,1000,100,32526,51,-4.747081362034867,0.18937130131912727,-5.1173771856611685,-4.380620904453272,-5.320060107870557,-4.1741026161991766,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,ofi,0.05,1000,500,407,51,-4.500362294867577,0.19464260692657206,-4.8625240834565915,-4.089758556862767,-5.089290374392329,-3.9114342153428265,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,ofi,0.05,10000,1,40521,51,-3.6077769197578102,0.14084966817976177,-3.89192548240551,-3.343851903825795,-4.03394427279834,-3.1816095667172806,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,ofi,0.05,10000,100,22894,51,-4.509321023895041,0.17000135526718343,-4.837858459754597,-4.180518286424913,-5.0236923285903,-3.994949719199783,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,ofi,0.05,10000,500,327,51,-4.483425460212605,0.21877703323896852,-4.8810826703349885,-4.027376730343797,-5.145376818468684,-3.821474101956527,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,ofi,0.1,0,1,156843,51,-3.648326133853459,0.1603857682522349,-3.96736791193784,-3.341303545317503,-4.133603658499044,-3.1630486092078742,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,ofi,0.1,0,100,93656,51,-4.5665848022821045,0.19025425806078455,-4.936015982408046,-4.189601751865676,-5.142235101003252,-3.9909345035609567,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,ofi,0.1,0,500,1198,51,-4.441907165088061,0.16261171306717664,-4.7532252585186425,-4.117061612604702,-4.93391970744478,-3.9498946227313425,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,ofi,0.1,10,1,152962,51,-3.6795038801604587,0.16160131264794092,-4.0018805125172285,-3.3706308080145533,-4.168459264642817,-3.1905484956781,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,ofi,0.1,10,100,91847,51,-4.589762862049625,0.19052416659226368,-4.960885616973158,-4.211935225334817,-5.166229820163088,-4.013295903936162,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,ofi,0.1,10,500,1181,51,-4.458296406352936,0.16554208062934272,-4.7796257642866,-4.129045666239168,-4.959175330885368,-3.9574174818205043,9.999000099990002e-05,estimable
