sample,spread_bucket,bin,bin_center,observations,up_moves,down_moves,model_probability,empirical_up_probability
all_events,all_spreads,0,-0.9900990099,177033,82478,94555,0.4109367611666239,0.465890540181774
all_events,all_spreads,1,-0.9702970297,251495,115399,136096,0.4126752586222675,0.4588520646533728
all_events,all_spreads,2,-0.9504950495,115952,52381,63571,0.41441593666323867,0.4517472747343728
all_events,all_spreads,3,-0.9306930693,115842,52684,63158,0.4161587544769057,0.45479187168729823
all_events,all_spreads,4,-0.9108910891,120810,54894,65916,0.4179036710398755,0.4543829153215793
all_events,all_spreads,5,-0.8910891089,95438,45181,50257,0.4196506451216518,0.47340681908673693
all_events,all_spreads,6,-0.8712871287,92426,43713,48713,0.42139963528833474,0.4729513340402051
all_events,all_spreads,7,-0.8514851485,81024,37352,43672,0.423150599906364,0.46099921011058453
all_events,all_spreads,8,-0.8316831683,58896,27696,31200,0.42490349714630243,0.4702526487367563
all_events,all_spreads,9,-0.8118811881,112719,52949,59770,0.42665828498666036,0.46974334406799206
all_events,all_spreads,10,-0.7920792079,69227,33080,36147,0.4284149212177606,0.4778482384040909
all_events,all_spreads,11,-0.7722772277,62703,29266,33437,0.4301733634456421,0.46674002838779644
all_events,all_spreads,12,-0.7524752475,60379,28452,31927,0.4319335690960024,0.4712234386127627
all_events,all_spreads,13,-0.7326732673,104192,49802,54390,0.4336954954181777,0.47798295454545453
all_events,all_spreads,14,-0.7128712871,65631,30226,35405,0.4354590994891611,0.46054455973549085
all_events,all_spreads,15,-0.6930693069,47648,23085,24563,0.4372243382176551,0.48449042981867024
all_events,all_spreads,16,-0.6732673267,105905,49746,56159,0.43899116834816154,0.4697228648316888
all_events,all_spreads,17,-0.6534653465,40373,19760,20613,0.4407595464651056,0.4894360092140787
all_events,all_spreads,18,-0.6336633663,56135,27546,28589,0.442529428996993,0.4907098957869422
all_events,all_spreads,19,-0.6138613861,45626,21833,23793,0.44430077222060155,0.478521018717398
all_events,all_spreads,20,-0.5940594059,105643,48198,57445,0.44607353226520413,0.45623467716744126
all_events,all_spreads,21,-0.5742574257,44175,21467,22708,0.4478476651168232,0.4859535936615733
all_events,all_spreads,22,-0.5544554455,50994,24941,26053,0.4496231266225164,0.48909675648115464
all_events,all_spreads,23,-0.5346534653,88796,43882,44914,0.45139987249469093,0.4941889274291635
all_events,all_spreads,24,-0.5148514851,38563,18896,19667,0.453177858315448,0.4900033711070197
all_events,all_spreads,25,-0.495049505,97000,43760,53240,0.45495703953196553,0.4511340206185567
all_events,all_spreads,26,-0.4752475248,42102,20795,21307,0.4567373714968436,0.49391952876347917
all_events,all_spreads,27,-0.4554455446,39449,18870,20579,0.45851880941861956,0.4783391213972471
all_events,all_spreads,28,-0.4356435644,65011,31277,33734,0.4603013084021506,0.48110319792035194
all_events,all_spreads,29,-0.4158415842,34228,16676,17552,0.46208482344410795,0.48720345915624635
all_events,all_spreads,30,-0.396039604,38252,18226,20026,0.46386930943747334,0.47647181846700826
all_events,all_spreads,31,-0.3762376238,39597,18890,20707,0.46565472117605944,0.47705634265222113
all_events,all_spreads,32,-0.3564356436,42248,19953,22295,0.46744101335905175,0.47228271160765006
all_events,all_spreads,33,-0.3366336634,280963,124757,156206,0.4692281405955702,0.4440335560198318
all_events,all_spreads,34,-0.3168316832,42732,21025,21707,0.471016057409251,0.492020031826266
all_events,all_spreads,35,-0.297029703,34758,17306,17452,0.4728047182428466,0.4978997640830888
all_events,all_spreads,36,-0.2772277228,40938,19534,21404,0.4745940774628436,0.47716058429820707
all_events,all_spreads,37,-0.2574257426,62929,31007,31922,0.4763840893640972,0.49272990195299465
all_events,all_spreads,38,-0.2376237624,36141,17517,18624,0.47817470817448027,0.48468498381339753
all_events,all_spreads,39,-0.2178217822,34108,17053,17055,0.4799658880595491,0.49997068136507566
all_events,all_spreads,40,-0.198019802,62800,29883,32917,0.4817575831272201,0.475843949044586
all_events,all_spreads,41,-0.1782178218,33559,16759,16800,0.48354974743246154,0.49938913555231085
all_events,all_spreads,42,-0.1584158416,37427,18097,19330,0.485342334981995,0.48352793437892433
all_events,all_spreads,43,-0.1386138614,43264,20725,22539,0.48713529973900854,0.4790356878698225
all_events,all_spreads,44,-0.1188118812,47145,22811,24334,0.4889285956278783,0.48384770389224735
all_events,all_spreads,45,-0.09900990099,39564,18679,20885,0.4907221765398059,0.4721211202102922
all_events,all_spreads,46,-0.07920792079,37746,18090,19656,0.49251599633393267,0.4792560801144492
all_events,all_spreads,47,-0.05940594059,33133,15818,17315,0.494310008847519,0.47740922946910935
all_events,all_spreads,48,-0.0396039604,42876,20280,22596,0.4961041678961658,0.4729918835712287
all_events,all_spreads,49,-0.0198019802,47358,22300,25058,0.4978984272830976,0.4708813716795473
all_events,all_spreads,50,0.0,598604,299701,298903,0.4996927407984851,0.5006665508416248
all_events,all_spreads,51,0.0198019802,61249,33416,27833,0.5014870622278284,0.5455762543061927
all_events,all_spreads,52,0.0396039604,44823,23901,20922,0.5032813453558123,0.5332307074493006
all_events,all_spreads,53,0.05940594059,34465,18383,16082,0.5050755439701614,0.5333816915711591
all_events,all_spreads,54,0.07920792079,38126,20427,17699,0.5068696118700251,0.5357761107905367
all_events,all_spreads,55,0.09900990099,40955,21864,19091,0.508663502865299,0.5338542302527164
all_events,all_spreads,56,0.1188118812,48287,25503,22784,0.510457170785911,0.5281545757657341
all_events,all_spreads,57,0.1386138614,42770,22579,20191,0.5122505694820438,0.5279167640869769
all_events,all_spreads,58,0.1584158416,37683,19715,17968,0.5140436528343155,0.5231802138895523
all_events,all_spreads,59,0.1782178218,35112,18250,16862,0.5158363747548976,0.5197653223969013
all_events,all_spreads,60,0.198019802,60573,31231,29342,0.5176286891931539,0.5155927558483152
all_events,all_spreads,61,0.2178217822,35157,17801,17356,0.5194205501403654,0.5063287538754728
all_events,all_spreads,62,0.2376237624,34303,17857,16446,0.5212119116344467,0.5205667142815498
all_events,all_spreads,63,0.2574257426,60654,30888,29766,0.5230027277646522,0.5092491838955386
all_events,all_spreads,64,0.2772277228,39155,19999,19156,0.5247929526762701,0.5107649086962074
all_events,all_spreads,65,0.297029703,34922,18032,16890,0.5265825405753056,0.5163507244716797
all_events,all_spreads,66,0.3168316832,41146,21539,19607,0.5283714457331494,0.5234773732562096
all_events,all_spreads,67,0.3366336634,304248,169612,134636,0.5301596224912333,0.5574794246798664
all_events,all_spreads,68,0.3564356436,45295,24266,21029,0.5319470252656693,0.5357324207969975
all_events,all_spreads,69,0.3762376238,41401,21535,19866,0.5337336085518742,0.5201565179585034
all_events,all_spreads,70,0.396039604,38387,20393,17994,0.5355193269291745,0.5312475577669523
all_events,all_spreads,71,0.4158415842,35515,18638,16877,0.5373041350653956,0.5247923412642546
