sample,spread_bucket,train_first_date,train_last_date,test_first_date,test_last_date,train_observations,test_observations,train_upward_fraction,test_upward_fraction,intercept,queue_imbalance_coefficient,baseline_roc_auc,baseline_log_loss,baseline_brier_score,baseline_accuracy,model_roc_auc,model_log_loss,model_brier_score,model_accuracy,relative_brier_reduction,clusters,replicates,relative_brier_reduction_lower_95,relative_brier_reduction_median,relative_brier_reduction_upper_95,probability_nonpositive
all_events,all_spreads,2019-01-02,2019-10-17,2019-10-18,2019-12-31,30946617,7566517,0.49875574444857734,0.5029489790348717,-0.0012290369607682217,0.3624538221899874,0.5,0.6931649540777248,0.2500088867389476,0.4970510209651283,0.5369798422391018,0.6924532822705338,0.24964246260526382,0.5309889609710783,0.0014656444355372056,51,10000,0.00019352163694143776,0.0014813505431868768,0.00276571484261717,0.0114
all_events,one_tick,2019-01-02,2019-10-17,2019-10-18,2019-12-31,504302,78776,0.4915269025306265,0.48503351274499845,-0.03990349537616424,0.7884003127012096,0.5,0.6927834893567326,0.24981816837015394,0.5149664872550015,0.6342858603829439,0.6648689503386742,0.2360629661356127,0.6052477912054433,0.05506085615902945,51,10000,0.03571709018880669,0.055441318087648794,0.07383748962373857,0.0
all_events,over_ten_ticks,2019-01-02,2019-10-17,2019-10-18,2019-12-31,14693288,3820872,0.4978062092024603,0.5024384486054492,-0.004436988532067323,0.3746512912692762,0.5,0.6931782040104761,0.2500155116102851,0.49756155139455077,0.5436924348121149,0.6911777987745942,0.2490069761471211,0.5371375958158242,0.004033891564040548,51,10000,0.002824128916685334,0.004051204507830641,0.0053003956510185414,0.0
all_events,six_to_ten_ticks,2019-01-02,2019-10-17,2019-10-18,2019-12-31,10206216,2455347,0.49901991100325527,0.5053232801718046,-0.00027831767421654315,0.3464570518997565,0.5,0.6931699708925396,0.2500113951510875,0.4946767198281954,0.5291479877484313,0.6938620572909175,0.25034448894415934,0.5236156030084546,-0.0013323144445898105,51,10000,-0.0030662997722930296,-0.001321599835716114,0.0004990973400703507,0.9238
all_events,two_to_five_ticks,2019-01-02,2019-10-17,2019-10-18,2019-12-31,5542811,1211522,0.5014441228466928,0.5009120758847136,0.00839910680444422,0.32821292440359234,0.5,0.6931460829457928,0.24999945119155026,0.5009120758847136,0.5277533387190854,0.6939469572351665,0.2503903461432961,0.5210247936067195,-0.0015635832394140792,51,10000,-0.004533744458634081,-0.0015177059478311827,0.0015234752800558206,0.8343
best_quote_updates,all_spreads,2019-01-02,2019-10-17,2019-10-18,2019-12-31,21844859,5489604,0.4972002337025842,0.502589075641886,-0.008263025616048216,0.3810867596039058,0.5,0.6931918537183175,0.2500223363047674,0.497410924358114,0.5377917608325163,0.6926102038694579,0.24971668252814602,0.5316776947845419,0.0012225058814296919,51,10000,-0.0003453019482436313,0.0012406709342561162,0.002878609291192783,0.0663
best_quote_updates,one_tick,2019-01-02,2019-10-17,2019-10-18,2019-12-31,389538,61829,0.48896641662687595,0.4925035177667438,-0.05279032648905912,0.792129997846884,0.5,0.6930598138192551,0.24995631383860012,0.5074964822332563,0.6260182709866096,0.669477704222134,0.2382407504726958,0.5992980640152679,0.046870443822712216,51,10000,0.02317737905133296,0.047380423919489045,0.0700266080695676,0.0001
best_quote_updates,over_ten_ticks,2019-01-02,2019-10-17,2019-10-18,2019-12-31,10171670,2720784,0.495702180664532,0.5012650765367629,-0.013450467627693854,0.3978050207630929,0.5,0.6932058732440916,0.2500293453918414,0.49873492346323706,0.5474567513175758,0.6907091702569986,0.24877048539799768,0.5398738010808649,0.005034848976910533,51,10000,0.0036892211639074413,0.005051967621216402,0.0064826153194107805,0.0
best_quote_updates,six_to_ten_ticks,2019-01-02,2019-10-17,2019-10-18,2019-12-31,7218206,1794330,0.497851820798686,0.5049539382387855,-0.0059919731300896156,0.36793629283061413,0.5,0.6931989780431639,0.2500258985680593,0.4950460617612145,0.5296208359900951,0.6942170060851781,0.25051654595559736,0.5247340232844572,-0.0019623862581759077,51,10000,-0.004195473133857042,-0.0019505183670717186,0.00045391692684465724,0.9448
best_quote_updates,two_to_five_ticks,2019-01-02,2019-10-17,2019-10-18,2019-12-31,4065445,912661,0.500580379269674,0.5025699575198239,0.0041903144506008575,0.3312559028619437,0.5,0.6931418880376392,0.2499973537399598,0.5025699575198239,0.522382075518958,0.6950465291728266,0.2509360281597769,0.5173728251782426,-0.003754737423314891,51,10000,-0.007277356039899951,-0.003698080245530977,-6.259576655565313e-05,0.9771
