quantity,value
visible_market_orders,4547078.0
market_orders_per_session_median,16049.0
market_orders_per_session_p10,10839.0
market_orders_per_session_p90,29934.80000000002
order_size_shares_median,55.0
order_size_shares_p90,195.0
order_size_shares_p99,700.0
spread_cents_median,6.999999999999318
spread_cents_p90,15.00000000000341
buyer_initiated_fraction,0.49721139597781255
ten_order_windows,454576.0
ten_order_impact_cents_standard_deviation,12.463873447092
ten_order_zero_impact_fraction,0.030124775615078668
