horizon,Q_N,R_N
10,2129.4489703630215,0.0026880139388040535
13,2767.886412154593,0.003232733917442893
16,3378.1452112218826,0.0037226292517042055
20,4209.606547556386,0.004333636618966662
25,5271.965135707309,0.005032865694038752
32,6595.514721466009,0.005889370368484717
40,8371.396258512465,0.006841831107479435
50,10198.11367528131,0.00783725429057214
63,13076.674626530232,0.009189627883058351
79,16302.97033288644,0.01061764998215387
100,20826.907313588836,0.012338597185613826
126,26780.30195528662,0.014481208457489663
158,32870.76916985036,0.016627775625907372
199,43694.59663896276,0.019829867603983392
251,52979.54972616481,0.022585699270878876
316,63609.52966589998,0.025837798300405158
398,93129.16232106065,0.03252538267508325
500,110600.95656522736,0.0365741731889293
630,134681.83367414627,0.04294809755996717
793,168951.18009749387,0.049648730719753585
998,224109.84159160877,0.05957298022062507
1257,289300.89012834016,0.0719746825015456
1582,365002.81029897096,0.08602626440546805
1991,447131.1974789611,0.09862247946820299
2507,489011.34434559545,0.10507847849042833
3155,560248.3722771959,0.11748725004067022
3972,534777.1504832698,0.11673313159456047
5000,735560.4778360513,0.14257743591711772
