date,requested_end_seconds,scheduled_close_seconds,end_gap_seconds,events_after_scheduled_close,coverage_status,analysis_status
2019-01-02,57600.0,57600.0,0.000836305,0,complete,included
2019-01-03,57600.0,57600.0,0.076227967,0,complete,included
2019-01-04,57600.0,57600.0,0.025908602,0,complete,included
2019-01-07,57600.0,57600.0,0.000259438,0,complete,included
2019-01-08,57600.0,57600.0,0.099101295,0,complete,included
2019-01-09,57600.0,57600.0,22827.026730488,0,incomplete,declared_source_exclusion
2019-01-10,57600.0,57600.0,0.026552926,0,complete,included
2019-01-11,57600.0,57600.0,0.024539759,0,complete,included
2019-01-14,57600.0,57600.0,0.037154464,0,complete,included
2019-01-15,57600.0,57600.0,0.027802139,0,complete,included
2019-01-16,57600.0,57600.0,0.000306108,0,complete,included
2019-01-17,57600.0,57600.0,0.024524865,0,complete,included
2019-01-18,57600.0,57600.0,0.001194082,0,complete,included
2019-01-22,57600.0,57600.0,0.003333866,0,complete,included
2019-01-23,57600.0,57600.0,0.024369089,0,complete,included
2019-01-24,57600.0,57600.0,0.095985248,0,complete,included
2019-01-25,57600.0,57600.0,0.029094893,0,complete,included
2019-01-28,57600.0,57600.0,0.026130727,0,complete,included
2019-01-29,57600.0,57600.0,0.010170376,0,complete,included
2019-01-30,57600.0,57600.0,0.009481284,0,complete,included
2019-01-31,57600.0,57600.0,0.015342686,0,complete,included
2019-02-01,57600.0,57600.0,0.010911724,0,complete,included
2019-02-04,57600.0,57600.0,0.00188014,0,complete,included
2019-02-05,57600.0,57600.0,0.015360151,0,complete,included
2019-02-06,57600.0,57600.0,0.087704188,0,complete,included
2019-02-07,57600.0,57600.0,0.192806227,0,complete,included
2019-02-08,57600.0,57600.0,0.015424078,0,complete,included
2019-02-11,57600.0,57600.0,0.010062183,0,complete,included
2019-02-12,57600.0,57600.0,0.006194275,0,complete,included
2019-02-13,57600.0,57600.0,0.00447046,0,complete,included
2019-02-14,57600.0,57600.0,0.015177514,0,complete,included
2019-02-15,57600.0,57600.0,0.068862111,0,complete,included
2019-02-19,57600.0,57600.0,0.199531723,0,complete,included
2019-02-20,57600.0,57600.0,0.021867315,0,complete,included
2019-02-21,57600.0,57600.0,0.018085981,0,complete,included
2019-02-22,57600.0,57600.0,0.334873018,0,complete,included
2019-02-25,57600.0,57600.0,0.012798103,0,complete,included
2019-02-26,57600.0,57600.0,0.026615036,0,complete,included
2019-02-27,57600.0,57600.0,0.000239416,0,complete,included
2019-02-28,57600.0,57600.0,0.00557398,0,complete,included
2019-03-01,57600.0,57600.0,0.046030221,0,complete,included
2019-03-04,57600.0,57600.0,0.005647777,0,complete,included
2019-03-05,57600.0,57600.0,0.100538229,0,complete,included
2019-03-06,57600.0,57600.0,0.000775946,0,complete,included
2019-03-07,57600.0,57600.0,0.081293989,0,complete,included
2019-03-08,57600.0,57600.0,958.147947646,0,incomplete,declared_source_exclusion
2019-03-11,57600.0,57600.0,0.229590182,0,complete,included
2019-03-12,57600.0,57600.0,0.114951243,0,complete,included
2019-03-13,57600.0,57600.0,0.007173436,0,complete,included
2019-03-14,57600.0,57600.0,0.090313411,0,complete,included
2019-03-15,57600.0,57600.0,0.37495468,0,complete,included
2019-03-18,57600.0,57600.0,0.022033389,0,complete,included
2019-03-19,57600.0,57600.0,0.016125039,0,complete,included
2019-03-20,57600.0,57600.0,0.018075755,0,complete,included
2019-03-21,57600.0,57600.0,0.004965266,0,complete,included
2019-03-22,57600.0,57600.0,0.021257275,0,complete,included
2019-03-25,57600.0,57600.0,0.147070983,0,complete,included
2019-03-26,57600.0,57600.0,0.023117121,0,complete,included
2019-03-27,57600.0,57600.0,0.00279419,0,complete,included
2019-03-28,57600.0,57600.0,0.002384568,0,complete,included
2019-03-29,57600.0,57600.0,0.018683305,0,complete,included
2019-04-01,57600.0,57600.0,0.085751881,0,complete,included
2019-04-02,57600.0,57600.0,0.050387143,0,complete,included
2019-04-03,57600.0,57600.0,0.049037904,0,complete,included
2019-04-04,57600.0,57600.0,0.024111613,0,complete,included
2019-04-05,57600.0,57600.0,0.020509866,0,complete,included
2019-04-08,57600.0,57600.0,0.089894201,0,complete,included
2019-04-09,57600.0,57600.0,0.020427683,0,complete,included
2019-04-10,57600.0,57600.0,0.040216754,0,complete,included
2019-04-11,57600.0,57600.0,0.011370232,0,complete,included
2019-04-12,57600.0,57600.0,0.005281646,0,complete,included
