fold,train_first_date,train_last_date,test_first_date,test_last_date,train_observations,test_observations,model,features,train_mse_cents_squared,train_rmse_cents,train_mae_cents,train_r_squared,train_sign_accuracy,test_mse_cents_squared,test_rmse_cents,test_mae_cents,test_r_squared,test_sign_accuracy
1,2019-01-02,2019-05-28,2019-05-29,2019-07-10,182411,54883,OLS count transforms,"volume_imbalance, order_flow_imbalance, abs_volume_imbalance, signed_sqrt_volume_imbalance, signed_log_volume_imbalance, abs_order_flow_imbalance, signed_sqrt_order_flow_imbalance",121.01254013349718,11.000569991300322,7.941789804645271,0.35693221743911807,0.7793075829704668,82.86983074837681,9.103286810178883,6.945796170188245,0.336816050714718,0.7801981695787006
1,2019-01-02,2019-05-28,2019-05-29,2019-07-10,182411,54883,OLS signed volume,volume_imbalance,164.84573052516114,12.839226243242274,8.97950335528284,0.12400005589089746,0.7620197188818446,112.66705481077717,10.614473835795026,7.413374652363646,0.09835724667247414,0.7655812722184404
2,2019-01-02,2019-07-10,2019-07-11,2019-08-21,237294,46320,OLS count transforms,"volume_imbalance, order_flow_imbalance, abs_volume_imbalance, signed_sqrt_volume_imbalance, signed_log_volume_imbalance, abs_order_flow_imbalance, signed_sqrt_order_flow_imbalance",112.00527746196842,10.583254577962698,7.6517812240836545,0.35465055515003807,0.779442687334909,76.23876571882796,8.73148130152198,6.4967371460606795,0.34752414350912164,0.7772578695204406
2,2019-01-02,2019-07-10,2019-07-11,2019-08-21,237294,46320,OLS signed volume,volume_imbalance,152.593094420375,12.35285774306395,8.647608347778782,0.12079260010257564,0.7628510357291811,100.17178033540743,10.008585331374631,7.070002211077171,0.14269771350167826,0.760108359826266
3,2019-01-02,2019-08-21,2019-08-22,2019-10-04,283614,52700,OLS count transforms,"volume_imbalance, order_flow_imbalance, abs_volume_imbalance, signed_sqrt_volume_imbalance, signed_log_volume_imbalance, abs_order_flow_imbalance, signed_sqrt_order_flow_imbalance",106.12430108055138,10.301664966429037,7.436620736853691,0.35406525616670015,0.7790585136187337,63.51085563943082,7.969369839543829,5.991653772087565,0.37860052050829895,0.7813409939223388
3,2019-01-02,2019-08-21,2019-08-22,2019-10-04,283614,52700,OLS signed volume,volume_imbalance,144.02848762490612,12.001186925671398,8.385573190753304,0.12335814406846712,0.7624016707781198,87.5706972596795,9.35792163141365,6.815230781935363,0.14319551912782502,0.7591213773426355
4,2019-01-02,2019-10-04,2019-10-07,2019-11-15,336314,54654,OLS count transforms,"volume_imbalance, order_flow_imbalance, abs_volume_imbalance, signed_sqrt_volume_imbalance, signed_log_volume_imbalance, abs_order_flow_imbalance, signed_sqrt_order_flow_imbalance",99.41786608102893,9.970850820317638,7.188376778205206,0.3567948676524304,0.7793339529405269,104.6938877000547,10.232003112785625,7.455038255460376,0.3561055540046455,0.7704247904304418
4,2019-01-02,2019-10-04,2019-10-07,2019-11-15,336314,54654,OLS signed volume,volume_imbalance,135.17097033943992,11.62630510262998,8.131252920933168,0.12548251844524982,0.7618990653746937,145.40130434394524,12.058246321250252,8.57989842879261,0.10574442917074289,0.7575586323820288
5,2019-01-02,2019-11-15,2019-11-18,2019-12-31,390968,63608,OLS count transforms,"volume_imbalance, order_flow_imbalance, abs_volume_imbalance, signed_sqrt_volume_imbalance, signed_log_volume_imbalance, abs_order_flow_imbalance, signed_sqrt_order_flow_imbalance",100.14689460067066,10.007342034759812,7.228701796754992,0.3567555797403187,0.7780441996528602,96.95925898951413,9.846789273134371,7.108132208647679,0.36727868289907983,0.793069403081704
5,2019-01-02,2019-11-15,2019-11-18,2019-12-31,390968,63608,OLS signed volume,volume_imbalance,136.59982187378424,11.687592646639608,8.196745967805855,0.12261809435886739,0.7613308432120455,133.38049469959094,11.549047350305173,8.211052803948004,0.12960677338690973,0.7766250161854201
